2_6_17
[02/06/2017 17:54:43] - Iniciando nova instancia do programa GatewayConcox...

[02/06/2017 17:54:43] - Cannot run program "gzip": CreateProcess error=2, O sistema não pode encontrar o arquivo especificado
[02/06/2017 17:54:44] - Started Server in http://127.0.0.1:9062/
[02/06/2017 17:54:44] - Crtl + C para encerrar
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:44] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
[02/06/2017 17:54:45] - Address already in use: bind
